iter,evals,f_best,f_mean,f_std,gbest_f,x_best
37,1480,-4.705034000000e+02,-3.715744325000e+01,1.164889740828e+02,-5.334512300000e+02,"[np.float64(-0.1400085877252503), np.float64(0.4471192144086344), np.float64(0.2945949386339457), np.float64(-0.19810156502640502), np.float64(0.18901149823315389), np.float64(0.13112614271812953)]"
38,1520,-4.118667000000e+02,-4.896262925000e+01,8.467848469607e+01,-5.334512300000e+02,"[np.float64(-0.1400085877252503), np.float64(0.4471192144086344), np.float64(0.2945949386339457), np.float64(-0.19810156502640502), np.float64(0.18901149823315389), np.float64(0.13112614271812953)]"
39,1560,-5.201799100000e+02,-1.069448975000e+02,1.763769918108e+02,-5.334512300000e+02,"[np.float64(-0.1400085877252503), np.float64(0.4471192144086344), np.float64(0.2945949386339457), np.float64(-0.19810156502640502), np.float64(0.18901149823315389), np.float64(0.13112614271812953)]"
40,1600,-4.520380000000e+02,-7.794606300000e+01,1.381144357151e+02,-5.334512300000e+02,"[np.float64(-0.1400085877252503), np.float64(0.4471192144086344), np.float64(0.2945949386339457), np.float64(-0.19810156502640502), np.float64(0.18901149823315389), np.float64(0.13112614271812953)]"
41,1640,-4.235231400000e+02,-6.239133225000e+01,1.208241884073e+02,-5.334512300000e+02,"[np.float64(-0.1400085877252503), np.float64(0.4471192144086344), np.float64(0.2945949386339457), np.float64(-0.19810156502640502), np.float64(0.18901149823315389), np.float64(0.13112614271812953)]"
42,1680,-4.905267500000e+02,-7.132537975000e+01,1.268138790519e+02,-5.334512300000e+02,"[np.float64(-0.1400085877252503), np.float64(0.4471192144086344), np.float64(0.2945949386339457), np.float64(-0.19810156502640502), np.float64(0.18901149823315389), np.float64(0.13112614271812953)]"
43,1720,-3.806041800000e+02,-6.433051175000e+01,1.008342303638e+02,-5.334512300000e+02,"[np.float64(-0.1400085877252503), np.float64(0.4471192144086344), np.float64(0.2945949386339457), np.float64(-0.19810156502640502), np.float64(0.18901149823315389), np.float64(0.13112614271812953)]"
44,1760,-4.500626200000e+02,-7.039533750000e+01,1.756277818209e+02,-5.334512300000e+02,"[np.float64(-0.1400085877252503), np.float64(0.4471192144086344), np.float64(0.2945949386339457), np.float64(-0.19810156502640502), np.float64(0.18901149823315389), np.float64(0.13112614271812953)]"
45,1800,-4.317246600000e+02,-3.153396875000e+01,8.656575083155e+01,-5.334512300000e+02,"[np.float64(-0.1400085877252503), np.float64(0.4471192144086344), np.float64(0.2945949386339457), np.float64(-0.19810156502640502), np.float64(0.18901149823315389), np.float64(0.13112614271812953)]"
46,1840,-4.668264900000e+02,-7.407650350000e+01,1.284187427453e+02,-5.334512300000e+02,"[np.float64(-0.1400085877252503), np.float64(0.4471192144086344), np.float64(0.2945949386339457), np.float64(-0.19810156502640502), np.float64(0.18901149823315389), np.float64(0.13112614271812953)]"
47,1880,-4.521549900000e+02,-8.680846475000e+01,1.350876043842e+02,-5.334512300000e+02,"[np.float64(-0.1400085877252503), np.float64(0.4471192144086344), np.float64(0.2945949386339457), np.float64(-0.19810156502640502), np.float64(0.18901149823315389), np.float64(0.13112614271812953)]"
48,1920,-5.311231400000e+02,-1.055548637500e+02,1.465350129366e+02,-5.334512300000e+02,"[np.float64(-0.1400085877252503), np.float64(0.4471192144086344), np.float64(0.2945949386339457), np.float64(-0.19810156502640502), np.float64(0.18901149823315389), np.float64(0.13112614271812953)]"
